rank,sweep_tier,hostile_prior_rank,title,year,venue,authors,doi,url,citations,query_source,source,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,relevance_score,hostile_score
1,deep_read_metadata,1,A Dexterous Hand-Arm Teleoperation System Based on Hand Pose Estimation and Active Vision,2022,IEEE Transactions on Cybernetics,Shuang Li; Norman Hendrich; Hongzhuo Liang; Philipp Ruppel; et al.,https://doi.org/10.1109/tcyb.2022.3207290,https://doi.org/10.1109/tcyb.2022.3207290,39,robot self occlusion perception manipulation,openalex,Teleoperation; Artificial intelligence; Computer vision; Pose; Computer science; Robotic arm,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,object absence can wait for later map revisits; enough object surface remains visible to constrain pose; the robot can afford extra sensing actions before acting; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; map update schedule; sensing cost model; occluder semantics,stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Markerless vision-based teleoperation that leverages innovations in computer vision offers the advantages of allowing natural and noninvasive finger motions for multifingered robot hands. However, current pose estimation methods still face inaccuracy issues due to the self-occlusion of the fingers. Herein, we develop a novel vision-based hand-arm teleoperation system that captures the human hands from the best viewpoint and at a suitable distance. This teleoperation system consists of an end-to-end hand pose regression network and a controlled active vision system. The end-to-end pose regression network (Transteleop), combined with an auxiliary reconstruction loss function, captures the h...",80.271,96.271
2,deep_read_metadata,3,Mesh-based Dynamics with Occlusion Reasoning for Cloth Manipulation,2022,,Zixuan Huang; Xingyu Lin; David Held,https://doi.org/10.15607/rss.2022.xviii.011,https://doi.org/10.15607/rss.2022.xviii.011,37,robotic perception object occlusion tracking,openalex,Dynamics (music); Computer science; Artificial intelligence; Cognitive science; Psychology; Physics,Estimate object pose robustly enough for robot manipulation.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Self-occlusion is challenging for cloth manipulation, as it makes it difficult to estimate the full state of the cloth. Ideally, a robot trying to unfold a crumpled or folded cloth should be able to reason about the cloth's occluded regions. We leverage recent advances in pose estimation for cloth to build a system that uses explicit occlusion reasoning to unfold a crumpled cloth. Specifically, we first learn a model to reconstruct the mesh of the cloth. However, the model will likely have errors due to the complexities of the cloth configurations and due to ambiguities from occlusions. Our main insight is that we can further refine the predicted reconstruction by performing test-time fin...",76.184,92.184
3,deep_read_metadata,13,Detection of Coconut Clusters Based on Occlusion Condition Using Attention-Guided Faster R-CNN for Robotic Harvesting,2022,Foods,L. G. Divyanth; Peeyush Soni; C.M. Pareek; Rajendra Machavaram; et al.,https://doi.org/10.3390/foods11233903,https://doi.org/10.3390/foods11233903,27,robot self occlusion perception manipulation,openalex,Artificial intelligence; Computer science; Computer vision; Tree (set theory); Intersection (aeronautics); Convolutional neural network,Build a spatial memory that remains useful as the robot moves through the world.,Learned visual representation or sequence model trained from labeled experience.,object absence can wait for later map revisits; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; map update schedule; occluder semantics,stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Manual harvesting of coconuts is a highly risky and skill-demanding operation, and the population of people involved in coconut tree climbing has been steadily decreasing. Hence, with the evolution of tree-climbing robots and robotic end-effectors, the development of autonomous coconut harvesters with the help of machine vision technologies is of great interest to farmers. However, coconuts are very hard and experience high occlusions on the tree. Hence, accurate detection of coconut clusters based on their occlusion condition is necessary to plan the motion of the robotic end-effector. This study proposes a deep learning-based object detection Faster Regional-Convolutional Neural Network...",75.665,83.665
4,deep_read_metadata,16,Occlusion-Based Cooperative Transport with a Swarm of Miniature Mobile Robots,2015,IEEE Transactions on Robotics,Jianing Chen; Melvin Gauci; Wei Li; Andreas Kolling; et al.,https://doi.org/10.1109/tro.2015.2400731,https://doi.org/10.1109/tro.2015.2400731,177,robotic perception object occlusion tracking,openalex,Teleoperation; Mobile robot; Object (grammar); Robot; Computer science; Human-computer interaction,Estimate object pose robustly enough for robot manipulation.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.",This paper proposes a strategy for transporting a large object to a goal using a large number of mobile robots that are significantly smaller than the object. The robots only push the object at positions where the direct line of sight to the goal is occluded by the object. This strategy is fully decentralized and requires neither explicit communication nor specific manipulation mechanisms. We prove that it can transport any convex object in a planar environment. We implement this strategy on the e-puck robotic platform and present systematic experiments with a group of 20 e-pucks transporting three objects of different shapes. The objects were successfully transported to the goal in 43 ou...,74.809,82.809
5,deep_read_metadata,67,Visual-Tactile Fusion for 3D Objects Reconstruction from a Single Depth View and a Single Gripper Touch for Robotics Tasks,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Mohamed Tahoun; Omar Tahri; Juan Antonio Corrales Ramon; Youcef Mezouar,https://doi.org/10.1109/iros51168.2021.9636150,https://doi.org/10.1109/iros51168.2021.9636150,10,robot self occlusion perception manipulation,openalex,Artificial intelligence; Computer vision; Robotics; Computer science; Fusion; Robot,Estimate object pose robustly enough for robot manipulation.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","The planning of robotic manipulation and grasping tasks depends on the reconstruction of the 3D object's shape. Most of the existing 3D object reconstruction methods are based on visual sensing that are limited due to the lack of the object's occluded side information. The goal of this paper is to overcome these limitations and improve the 3D objects' reconstruction by adding the tactile sensing to the visual data. In this paper, a novel multi-modal (visual and tactile) semi-supervised generative model is presented to reconstruct the complete 3D object's shape using a single arbitrary depth-view and a single dexterous-hand's touch. The presented approach takes the strength of the autoenco...",71.076,71.076
6,deep_read_metadata,7,Towards Confidence-guided Shape Completion for Robotic Applications,2022,2022 IEEE-RAS 21st International Conference on Humanoid Robots (Humanoids),Andrea Rosasco; Stefano Berti; Fabrizio Bottarel; Michele Colledanchise; et al.,https://doi.org/10.1109/humanoids53995.2022.10000218,https://doi.org/10.1109/humanoids53995.2022.10000218,3,robot self occlusion perception manipulation,openalex,Computer science; Artificial intelligence; Computer vision; Ground truth; Robot; Inference,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Many robotic tasks involving some form of 3D visual perception greatly benefit from a complete knowledge of the working environment. However, robots often have to tackle unstructured environments and their onboard visual sensors can only provide incomplete information due to limited workspaces, clutter or object self-occlusion. In recent years, deep learning architectures for shape completion have begun taking traction as effective means of inferring a complete 3D object representation from partial visual data. Nevertheless, most of the existing state-of-the-art approaches provide a fixed output resolution in the form of voxel grids, strictly related to the size of the neural network outp...",70.357,86.357
7,deep_read_metadata,10,Real-Time Generative Grasping with Spatio-temporal Sparse Convolution,2023,,Timothy Player; Dongsik Chang; Fuxin Li; Geoffrey A. Hollinger,https://doi.org/10.1109/icra48891.2023.10161529,https://doi.org/10.1109/icra48891.2023.10161529,5,robot self occlusion perception manipulation,openalex,Robustness (evolution); Computer science; GRASP; Artificial intelligence; Computation; Noise (video),Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Robots performing mobile manipulation in unstructured environments must identify grasp affordances quickly and with robustness to perception noise. Yet in domains such as underwater manipulation, where perception noise is severe, computation is constrained, and the environment is dynamic, existing techniques fail. They are too computationally demanding, or too sensitive to noise to allow for closed loop grasping or dynamic replanning, or do not consider 6-DOF grasps. We present a novel grasp synthesis network, TSGrasp, that uses spatio-temporal sparse convolution to process a streaming point cloud in real time. The network generates 6-DOF grasps at greater speed and with less memory than...",69.046,85.046
8,deep_read_metadata,80,"Can the robot ""see"" what I see? Robot gaze drives attention depending on mental state attribution",2023,Frontiers in Psychology,Lucas Morillo-Mendez; Rebecca Stower; Alex Sleat; Tim Schreiter; et al.,https://doi.org/10.3389/fpsyg.2023.1215771,https://doi.org/10.3389/fpsyg.2023.1215771,5,robot self occlusion perception manipulation,openalex,Gaze; Psychology; Mentalization; Attribution; Theory of mind; Cognitive psychology,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Mentalizing, where humans infer the mental states of others, facilitates understanding and interaction in social situations. Humans also tend to adopt mentalizing strategies when interacting with robotic agents. There is an ongoing debate about how inferred mental states affect gaze following, a key component of joint attention. Although the gaze from a robot induces gaze following, the impact of mental state attribution on robotic gaze following remains unclear. To address this question, we asked forty-nine young adults to perform a gaze cueing task during which mental state attribution was manipulated as follows. Participants sat facing a robot that turned its head to the screen at its...",69.046,69.046
9,deep_read_metadata,84,An application of stereo matching algorithm based on transfer learning on robots in multiple scenes,2023,Scientific Reports,Yuanwei Bi; Chuanbiao Li; Xiangrong Tong; Guohui Wang; et al.,https://doi.org/10.1038/s41598-023-39964-z,https://doi.org/10.1038/s41598-023-39964-z,13,robot self occlusion perception manipulation,openalex,Computer science; Robot; Transfer of learning; Artificial intelligence; Matching (statistics); Computer vision,Build a spatial memory that remains useful as the robot moves through the world.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",object absence can wait for later map revisits; enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; map update schedule; occluder semantics,stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Robot vision technology based on binocular vision holds tremendous potential for development in various fields, including 3D scene reconstruction, target detection, and autonomous driving. However, current binocular vision methods used in robotics engineering have limitations such as high costs, complex algorithms, and low reliability of the generated disparity map in different scenes. To overcome these challenges, a cross-domain stereo matching algorithm for binocular vision based on transfer learning was proposed in this paper, named Cross-Domain Adaptation and Transfer Learning Network (Ct-Net), which has shown valuable results in multiple robot scenes. First, this paper introduces a G...",68.486,68.486
10,deep_read_metadata,12,Real-time neural network prediction for handling two-hands mutual occlusions,2019,Computers & Graphics X,Dario Pavllo; Mathias Delahaye; Thibault Porssut; Bruno Herbelin; et al.,https://doi.org/10.1016/j.cagx.2019.100011,https://doi.org/10.1016/j.cagx.2019.100011,9,robot self occlusion perception manipulation,openalex,Computer science; Artificial intelligence; Motion capture; Pipeline (software); Computer vision; BitTorrent tracker,Maintain object identity and state through missed or ambiguous detections.,Learned visual representation or sequence model trained from labeled experience.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; the robot can afford extra sensing actions before acting; training distribution covers relevant occlusion geometry; camera occlusion generalizes to robot-body occlusion,camera calibration; deletion patience; object geometry or pose prior; sensing cost model; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Hands deserve particular attention in virtual reality (VR) applications because they represent our primary means for interacting with the environment. Although marker-based motion capture works adequately for full body tracking, it is less reliable for small body parts such as hands and fingers which are often occluded when captured optically, thus leading VR professionals to rely on additional systems (e.g. inertial trackers). We present a machine learning pipeline to track hands and fingers using solely a motion capture system based on cameras and active markers. Our finger animation is performed by a predictive model based on neural networks trained on a movements dataset acquired from...",67.914,83.914
